time,air_temperature,burning_index_g,dead_fuel_moisture_1000hr,dead_fuel_moisture_100hr,mean_vapor_pressure_deficit,potential_evapotranspiration,precipitation_amount,relative_humidity,specific_humidity,surface_downwelling_shortwave_flux_in_air,wind_from_direction,wind_speed
2018-03-11,269.99353,35.1203,18.775831,12.850269,0.2930827,8.286225,3.8668368,67.31665,0.0022080129,153.36917,188.95488,4.7983885
2018-03-18,270.53986,40.225563,16.648657,11.773148,0.39154673,10.04847,2.7872448,71.95929,0.0024234802,173.10934,233.79053,4.4611173
2018-03-25,271.2843,49.62406,15.161439,11.376906,0.3465091,10.906123,0.0,68.47702,0.002424103,219.7782,152.13643,6.019656
2018-04-01,273.78476,31.639097,15.5407095,15.328679,0.3325349,9.886224,8.853572,84.30268,0.0039252634,161.94846,214.6842,4.494952
2018-04-08,269.36832,40.5188,15.393126,13.655961,0.29845324,9.358673,5.9346943,69.155,0.0023286787,189.73898,227.91191,4.656499
2018-04-15,274.95926,42.24812,15.660365,15.572932,0.38808808,11.44796,27.586737,84.501495,0.0044150376,177.87799,177.24597,5.4380236
2018-04-22,274.7785,35.68421,17.245972,14.488831,0.49257785,13.484694,3.6183674,65.57057,0.0030606335,214.41312,212.55103,4.6668105
2018-04-29,277.02316,38.82707,15.688187,12.364878,0.55635875,15.969388,0.7765306,78.399574,0.0043381094,272.76486,191.78839,3.9547799
2018-05-06,294.24188,52.473682,15.188076,12.608164,1.1237917,32.631123,22.637754,80.010635,0.007899743,273.14944,220.42104,5.7654138
2018-05-13,293.004,34.924812,15.420837,13.97637,0.78806657,25.726019,28.780104,81.26724,0.0067491834,243.4288,149.02579,4.86638
2018-05-20,293.45694,32.18797,18.562084,19.05736,0.38513425,19.041327,31.091837,97.859505,0.009371987,265.80862,141.53381,4.850054
2018-05-27,299.73038,24.827068,19.646616,16.639206,1.200408,28.630102,20.856632,80.865204,0.009961278,284.59076,138.04512,2.786896
2018-06-03,300.3101,34.11278,17.604189,13.159936,0.99973154,30.227041,11.114285,87.86917,0.011247476,292.66528,163.9656,4.249839
2018-06-10,296.61267,34.451126,17.767561,15.820731,0.6446724,25.735205,31.611736,90.4174,0.010024135,292.17905,159.91621,4.001718
2018-06-17,301.59775,31.61654,19.256392,16.43029,1.1092373,33.29694,15.316326,85.82052,0.012321482,306.35843,139.2986,3.747261
2018-06-24,297.768,24.067669,19.96595,17.513535,0.6304404,24.139797,55.03725,93.65424,0.011946768,245.58379,175.61545,4.459506
2018-07-01,303.1335,32.541355,19.993128,15.087972,1.1116111,36.179592,12.969898,88.174225,0.014143319,308.50583,145.79915,4.49377
2018-07-08,302.3713,33.8797,18.96477,14.602148,1.1088506,33.207146,15.040306,86.33716,0.0125999665,321.99506,143.36522,3.4174008
